"sites" "long" "lat" "j.site" "a.exp" "b.exp" "r2.exp" "aic.exp" "a.pow" "b.pow" "r2.pow" "aic.pow" "mean.sing.value"
"777" "Loc_31120" 52.54054054 62.55 17 0.111821838767482 4.63767659307805e-05 0.52734568911757 -18464.5371038181 -3.24545223294988 0.218342352130454 0.534177101597902 -18600.2102064558 0.383297604102165
"886" "Loc_32110" 27.47368421 61.65 18 0.0161859775668896 4.78410347310344e-05 0.590390890119894 -18644.159837259 -3.19573505400787 0.206524226671928 0.566551643717509 -18116.9901322838 0.319591062859339
"887" "Loc_32111" 29.36842105 61.65 19 0.0181423501372073 4.75523743606079e-05 0.58570992251611 -18538.2672544319 -3.07641801658847 0.203252962066653 0.559388883387041 -17964.2516520201 0.319591062859339
"888" "Loc_32112" 31.2631579 61.65 20 0.0200862231787792 4.72576562078414e-05 0.580694222837863 -18426.1220965082 -3.01415628283891 0.201503770908845 0.55438248427673 -17858.9625022382 0.319591062859339
"889" "Loc_32113" 33.15789474 61.65 21 0.0220208144144031 4.69566329540322e-05 0.575355227187065 -18308.2129033233 -2.9838186974599 0.200631789063176 0.550344883466624 -17774.9061920259 0.319591062859339
"890" "Loc_32114" 35.05263158 61.65 22 0.0239513636980181 4.66488390563744e-05 0.569706237758803 -18185.0608954244 -2.98026880471438 0.200511294240948 0.547044718900264 -17706.760797916 0.319591062859339
"891" "Loc_32115" 36.94736842 61.65 23 0.0258854880299572 4.63335496485631e-05 0.563762677032922 -18057.2203321149 -2.99662245219051 0.200949783775243 0.544133347244559 -17647.0545688805 0.319591062859339
"892" "Loc_32116" 38.84210526 61.65 24 0.0278324856828022 4.60098638830147e-05 0.55754209163367 -17925.2733231384 -3.00430981228997 0.201131606457411 0.540161012444812 -17566.2023417497 0.319591062859339
"893" "Loc_32117" 40.73684211 61.65 25 0.0297984917952273 4.56772767385162e-05 0.551062773921902 -17789.79619778 -3.00878620237485 0.201215160764834 0.535448258467655 -17471.180759549 0.319591062859339
"895" "Loc_32119" 44.52631579 61.65 26 0.115291526443094 4.63485934282066e-05 0.528310519423604 -18483.5794416442 -2.78517879364654 0.205781194917788 0.521339363850402 -18346.8606411379 0.383297604102165
"896" "Loc_32120" 46.42105263 61.65 27 0.115857964379332 4.61826077133246e-05 0.525651265337379 -18431.1890546595 -2.77642722764613 0.205457538859385 0.52006085037706 -18322.002563138 0.383297604102165
"897" "Loc_32121" 48.31578947 61.65 28 0.116437325848612 4.60090700932165e-05 0.522777515360476 -18374.9020276699 -2.79583316271953 0.205972647330819 0.519593813284511 -18312.9384924461 0.383297604102165
"898" "Loc_32122" 50.21052632 61.65 29 0.117035167809302 4.58273966523295e-05 0.519691162887329 -18314.827087772 -2.83380244471924 0.207027842433916 0.519440421057301 -18309.9634391641 0.383297604102165
"899" "Loc_32123" 52.10526316 61.65 30 0.117656807194972 4.5637061912923e-05 0.516396168670822 -18251.1155676078 -2.89701177379883 0.208801354530541 0.519858276360085 -18318.0700042364 0.383297604102165
"900" "Loc_32124" 54 61.65 31 0.118307582686194 4.5437569055153e-05 0.512899153753098 -18183.9708968237 -3.01120375771146 0.211990362255598 0.521902515253733 -18357.8310388154 0.383297604102165
"905" "Loc_32129" 63.47368421 61.65 32 0.122203861075169 4.42861688079353e-05 0.492926608618709 -17809.4908781504 -3.34078605486767 0.220409289477311 0.514174614505839 -18208.4044564835 0.383297604102165
"906" "Loc_32130" 65.36842105 61.65 33 0.123118792064781 4.40261798096633e-05 0.488524486417914 -17728.9377853703 -3.40794123473625 0.222026087283091 0.511213838049743 -18151.7838249171 0.383297604102165
"1008" "Loc_33108" 17.44897959 60.75 34 0.0280073001403419 5.18433256393932e-05 0.613818647510456 -19072.4025068988 -3.87833098547662 0.228295133717553 0.611448160681076 -19015.3747819101 0.346629581927039
"1009" "Loc_33109" 19.28571429 60.75 35 0.0297839087403926 5.16145720149946e-05 0.611918336432729 -19026.6582723819 -3.75472946189798 0.225435623452739 0.608992431031947 -18956.6620781531 0.346629581927039
"1010" "Loc_33110" 21.12244898 60.75 36 0.015437456116193 4.80992196771201e-05 0.59357939279832 -18716.9851451006 -3.30456078016706 0.209508823993516 0.574279762034279 -18284.6412253373 0.319591062859339
"1011" "Loc_33111" 22.95918368 60.75 37 0.0173173816627478 4.78451246442464e-05 0.590173246951954 -18639.2095615352 -3.24495423318645 0.207964693388943 0.572328914086194 -18242.0347839834 0.319591062859339
"1013" "Loc_33113" 26.63265306 60.75 38 0.0210936425510718 4.73121948344745e-05 0.582312260223624 -18462.1522660997 -3.047901471505 0.202610543931905 0.562518165269974 -18030.6726414523 0.319591062859339
"1014" "Loc_33114" 28.46938776 60.75 39 0.0229825402140085 4.70343885732887e-05 0.577870935148912 -18363.5853072153 -2.94230396566777 0.199615374507503 0.5560943248304 -17894.8303963562 0.319591062859339
"1015" "Loc_33115" 30.30612245 60.75 40 0.0334706297050807 5.08475112393774e-05 0.599174133984058 -18517.4876088682 -3.27244491887045 0.21326542622292 0.588781841075091 -18278.9511198828 0.345619494056274
"1016" "Loc_33116" 32.14285715 60.75 41 0.0352738665319874 5.05599512101437e-05 0.594654410761711 -18412.9943481912 -3.22756413434687 0.212058037993171 0.584631649862506 -18185.3711824285 0.345619494056274
"1017" "Loc_33117" 33.97959183 60.75 42 0.0286178229896196 4.61609371379898e-05 0.562603484070585 -18032.4902333605 -2.81479104457842 0.195859166700688 0.542740568963055 -17618.6262694349 0.319591062859339
"1018" "Loc_33118" 35.81632653 60.75 43 0.0304983237346773 4.58554127196613e-05 0.556906623821157 -17911.8987717948 -2.80110820317792 0.195426392279704 0.538571958396556 -17534.0544217815 0.319591062859339
"1019" "Loc_33119" 37.65306123 60.75 44 0.03238962850535 4.55418240426149e-05 0.550930560950279 -17787.0521364288 -2.79207460653681 0.195123388755272 0.534067010668446 -17443.5137656295 0.319591062859339
"1020" "Loc_33120" 39.48979592 60.75 45 0.0342978926904449 4.52196409578503e-05 0.544692352789058 -17658.4889855952 -2.78292578020776 0.194808849583019 0.529002246521333 -17342.7613947727 0.319591062859339
"1021" "Loc_33121" 41.32653062 60.75 46 0.036228134976566 4.488848786866e-05 0.538210021742114 -17526.7476149753 -2.77349827254877 0.194478872644278 0.523400400961071 -17232.5791390363 0.319591062859339
"1022" "Loc_33122" 43.16326531 60.75 47 0.0381849202526722 4.45480640969072e-05 0.531502898661796 -17392.370250447 -2.7520489053972 0.193778160344064 0.51664408697414 -17101.3998731111 0.319591062859339
"1023" "Loc_33123" 45 60.75 48 0.121252190654836 4.55436657839019e-05 0.515961165267472 -18242.7368610231 -2.56954644027531 0.199252761110468 0.509460223191355 -18118.4099425666 0.383297604102165
