"sites" "long" "lat" "j.site" "a.exp" "b.exp" "r2.exp" "aic.exp" "a.pow" "b.pow" "r2.pow" "aic.pow" "mean.sing.value"
"780" "Loc_38132" 33.24324324 56.25 95 0.0839428901365037 3.82823827433345e-05 0.651950364643802 -32953.9271863398 -2.60930152304063 0.188933913572936 0.644286727802508 -32669.4600271448 0.306846260932457
"781" "Loc_38133" 34.86486486 56.25 96 0.0846895521684032 3.82120400357029e-05 0.651635055263601 -32942.1001619955 -2.56406508258805 0.187534527471343 0.642200182760689 -32593.0705596505 0.306846260932457
"782" "Loc_38134" 36.48648649 56.25 97 0.0855066785450374 3.81241910222223e-05 0.650737712395481 -32908.4999780551 -2.52794337704778 0.186408115847432 0.640105646768881 -32516.8352678436 0.306846260932457
"783" "Loc_38135" 38.10810811 56.25 98 0.0863934625673655 3.8018906990479e-05 0.649262837364669 -32853.4617311645 -2.49330311956229 0.185312796640458 0.637508127256572 -32422.9067090012 0.306846260932457
"784" "Loc_38136" 39.72972973 56.25 99 0.087348606580873 3.78963434146202e-05 0.647216028213377 -32777.462735696 -2.4588111560575 0.184205471949835 0.634326845804372 -32308.7815316672 0.306846260932457
"785" "Loc_38137" 41.35135135 56.25 100 0.0883704088586224 3.77567286538643e-05 0.644603929058842 -32681.1121476625 -2.42649383851624 0.183153821956151 0.630709163208314 -32180.2012622189 0.306846260932457
"786" "Loc_38138" 42.97297297 56.25 101 0.0894572099805233 3.76003127153926e-05 0.641435266547625 -32565.1781284963 -2.3969535586639 0.182179918166786 0.626704308809225 -32039.3209513689 0.306846260932457
"787" "Loc_38139" 44.5945946 56.25 102 0.0906074791023221 3.74273583501931e-05 0.637721180565759 -32430.5855221251 -2.3697768877911 0.181271917301936 0.622293405084995 -31885.8953837634 0.306846260932457
"788" "Loc_38140" 46.21621622 56.25 103 0.0918197095642276 3.72381542149667e-05 0.633475122912342 -32278.39533221 -2.34442165082819 0.180413066395057 0.617453120231839 -31719.5829188383 0.306846260932457
"789" "Loc_38141" 47.83783784 56.25 104 0.0930923164319353 3.70330270762301e-05 0.628712652335151 -32109.7792804903 -2.32057134600342 0.179593814440891 0.612180906150559 -31540.806945905 0.306846260932457
"790" "Loc_38142" 49.45945946 56.25 105 0.102940899571437 3.72679090300622e-05 0.621881352236835 -31878.1274097395 -2.34860867470361 0.182017049166898 0.613937074403694 -31606.5585718659 0.31554215675969
"791" "Loc_38143" 51.08108108 56.25 106 0.104289402074035 3.7035933108415e-05 0.616377372886133 -31689.3790046105 -2.32837071150438 0.181311819016644 0.608058405710229 -31409.1747491396 0.31554215675969
"792" "Loc_38144" 52.7027027 56.25 107 0.105694728027158 3.67887827176694e-05 0.610405373908503 -31487.6198499173 -2.31054207035875 0.180680131115185 0.601847245941851 -31203.8179354473 0.31554215675969
"793" "Loc_38145" 54.32432433 56.25 108 0.107154851981825 3.65269398277263e-05 0.603986540468777 -31274.1845486887 -2.29627937327537 0.180163573367652 0.595398132535884 -30993.9563410369 0.31554215675969
"794" "Loc_38146" 55.94594595 56.25 109 0.108667701962267 3.62509143129948e-05 0.597143256620444 -31050.4127360804 -2.28757444047471 0.179833276072354 0.588857598775206 -30784.5089802174 0.31554215675969
"795" "Loc_38147" 57.56756757 56.25 110 0.101893328112827 3.54910698772241e-05 0.590365318101641 -30826.0206706434 -2.2354345812739 0.176506221328077 0.574492522103235 -30329.4835137207 0.306846260932457
"796" "Loc_38148" 59.18918919 56.25 111 0.103535858448378 3.51867335074286e-05 0.582551327842158 -30579.221933963 -2.2538592970465 0.177120807864353 0.568905507783814 -30159.1055987715 0.306846260932457
"870" "Loc_39120" 8.68421053 55.35 112 0.175253156288969 3.58011876121246e-05 0.442810613639686 -26694.6883879575 -2.55262451256094 0.19696785841857 0.499382991351799 -28093.0491840469 0.370323998558263
"871" "Loc_39121" 10.26315789 55.35 113 0.175067681625732 3.59536182402206e-05 0.448209614829764 -26821.8627755904 -2.47561694822997 0.194603882083096 0.503624249441984 -28204.1741758156 0.370323998558263
"873" "Loc_39123" 13.42105263 55.35 114 0.174913574172921 3.62102128026342e-05 0.457830116647044 -27051.5907049444 -2.44295161398049 0.193770644615089 0.514971620641478 -28506.2202256094 0.370323998558263
"875" "Loc_39127" 19.73684211 55.35 115 0.175456185336477 3.65252058877577e-05 0.472107107954279 -27400.1363301434 -2.50206612956739 0.196113985362101 0.533304343755592 -29009.4613110225 0.370323998558263
"882" "Loc_39134" 30.78947369 55.35 116 0.0862011375451198 3.79831727385509e-05 0.647828277153212 -32800.1495101262 -2.56052119665227 0.187459567667248 0.642064216052531 -32588.1082210616 0.306846260932457
"883" "Loc_39135" 32.36842106 55.35 117 0.0868001855538292 3.79441222077089e-05 0.648417319764098 -32822.0136357464 -2.51319809582505 0.185976217228694 0.640516682790014 -32531.760785487 0.306846260932457
"884" "Loc_39136" 33.94736843 55.35 118 0.0874689656160478 3.78879598116019e-05 0.64843904845265 -32822.8208631419 -2.48430940096947 0.185076487084333 0.639613329842542 -32498.9807022852 0.306846260932457
"885" "Loc_39137" 35.52631579 55.35 119 0.0882071258525349 3.78146608047524e-05 0.647894698567911 -32802.6131148444 -2.46438771724131 0.184461506903078 0.638743718747207 -32467.5025426448 0.306846260932457
"886" "Loc_39138" 37.10526316 55.35 120 0.0890146720997907 3.7724188890898e-05 0.646789113386043 -32761.6667701217 -2.4433539488105 0.183800924863388 0.637233335032913 -32413.0093793778 0.306846260932457
"887" "Loc_39139" 38.68421053 55.35 121 0.0898912476094299 3.76165776905704e-05 0.645128757424045 -32700.4141326899 -2.40583191371935 0.182575849232154 0.634002760953136 -32297.2110962419 0.306846260932457
"888" "Loc_39140" 40.2631579 55.35 122 0.090834835376517 3.74920733996943e-05 0.642917552455697 -32619.2834598525 -2.36766294870235 0.181309833952044 0.630170022816842 -32161.1469648191 0.306846260932457
"889" "Loc_39141" 41.84210527 55.35 123 0.0918433666468726 3.73509517696933e-05 0.64016096908146 -32518.8431355955 -2.33425812922734 0.180187980291889 0.62612376987022 -32019.0246302898 0.306846260932457
"890" "Loc_39142" 43.42105264 55.35 124 0.0929152533022384 3.71934582870716e-05 0.63686749307121 -32399.8442940565 -2.30484263184192 0.17918770583773 0.621810222331452 -31869.1977224637 0.306846260932457
"891" "Loc_39143" 45 55.35 125 0.0940491349491412 3.70198393184472e-05 0.633048302950151 -32263.1945845598 -2.27803540937533 0.17826407917099 0.617136979089543 -31708.7936157716 0.306846260932457
